,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
109,C2_NaCRRI_CET_GWAS_2019_118_7_Root2_image2_1_2020-10-14-10-04-03,12357,2372829,71671,2403423,0.172412831,0.987270655,1711.280607,6273.990566,290,1784,546,1734,3583,12376,20,93,533.7029419,1799.244019,329.1359863,1676.666504,1.054199219,125.4788437,0.787196237,0.362785259,0.520770776,0.030204874,0.296626214
110,C2_NaCRRI_CET_GWAS_2019_118_7_Root2_image3_1_2020-10-14-10-04-17,NA,841983,NA,848159,NA,0.992718346,NA,3553.541527,NA,1017,NA,1075,NA,7684,NA,83,NA,1071.097168,NA,1000.495667,NA,3.860744238,NA,0.357051036,NA,NA,NA
111,C2_NaCRRI_CET_GWAS_2019_118_7_Root3_image1_1_2020-10-14-10-04-37,15561,2477097,157123.5,2506482,0.099036745,0.988276397,2784.486129,6309.130613,469,1738,719,1860,5158,13294,23,78,688.1065674,1839.043701,658.9973755,1718.152344,3.487682343,170.7065277,0.287779547,0.35658205,0.62819502,0.063430499,0.374165425
112,C2_NaCRRI_CET_GWAS_2019_118_7_Root3_image2_1_2020-10-14-10-04-54,4644,2692086,10663.5,2717248,0.43550429,0.990739896,738.1241556,6513.466619,140,1849,136,1838,1243,13258,15,94,158.8675232,1909.898438,73.73887634,1798.994629,135.5345154,115.607399,0.885754913,0.335803418,0.172505633,0.003961055,0.083181137
113,C2_NaCRRI_CET_GWAS_2019_118_7_Root3_image3_1_2020-10-14-10-05-14,NA,964406,NA,976486.5,NA,0.987628605,NA,3854.227819,NA,1116,NA,1137,NA,8049,NA,74,NA,1142.201782,NA,1076.888916,NA,168.2277679,NA,0.333306716,NA,NA,NA
114,C2_NaCRRI_CET_GWAS_2019_118_7_Root4_image1_1_2020-10-14-10-05-32,11948,1971250,33448.5,2000962,0.357205854,0.985151142,1122.341981,5709.081843,175,1664,271,1591,1860,12761,22,78,268.5081787,1809.280884,179.959137,1388.104736,165.6466522,128.3197021,0.742163878,0.641391792,0.606112873,0.016968167,0.148406022
115,C2_NaCRRI_CET_GWAS_2019_118_7_Root4_image2_1_2020-10-14-10-05-54,NA,1797001,NA,1807581.5,NA,0.994146599,NA,5184.523406,NA,1434,NA,1626,NA,11716,NA,88,NA,1628.093262,NA,1406.695435,NA,163.6852264,NA,0.503467716,NA,NA,NA
116,C2_NaCRRI_CET_GWAS_2019_118_7_Root4_image3_1_2020-10-14-10-06-13,NA,1277551,NA,1292601.5,NA,0.988356427,NA,4462.945636,NA,1276,NA,1290,NA,9349,NA,80,NA,1323.838501,NA,1228.569702,NA,132.7657623,NA,0.372490673,NA,NA,NA
117,C2_NaCRRI_CET_GWAS_2019_118_7_Root5_image1_1_2020-10-14-10-06-34,NA,1907343,NA,1928318.5,NA,0.989122388,NA,5439.768134,NA,1538,NA,1619,NA,11312,NA,82,NA,1603.036743,NA,1515.605225,NA,12.16870689,NA,0.325741651,NA,NA,NA
118,C2_NaCRRI_CET_GWAS_2019_118_7_Root5_image2_1_2020-10-14-10-06-48,NA,1802631,NA,1816832.5,NA,0.992183374,NA,5236.37413,NA,1434,NA,1578,NA,11576,NA,93,NA,1614.40625,NA,1420.599365,NA,156.009491,NA,0.475063342,NA,NA,NA
119,C2_NaCRRI_CET_GWAS_2019_118_7_Root5_image3_1_2020-10-14-10-07-10,NA,1316222,NA,1328637.5,NA,0.990655465,NA,4532.49188,NA,1359,NA,1279,NA,9523,NA,93,NA,1382.577515,NA,1213.274414,NA,118.8655548,NA,0.479493721,NA,NA,NA
120,C2_NaCRRI_CET_GWAS_2019_118_8_Root1_image1_1_2020-10-14-10-07-47,5082,1795442,98405,1830199.5,0.051643717,0.981008901,2349.268507,5742.540651,482,1460,790,1629,5861,11875,18,74,864.3078003,1699.620117,483.0270386,1349.711426,149.1681061,151.904892,0.829262036,0.607753999,0.283050079,0.054808231,0.508529989
121,C2_NaCRRI_CET_GWAS_2019_118_8_Root1_image2_1_2020-10-14-10-08-01,2606,2079933,6476.5,2117058,0.402377828,0.982463872,427.3208486,6006.620947,128,1750,92,1557,761,12264,17,83,154.5491028,1737.811279,126.5482559,1524.271606,165.4845123,85.70380402,0.574047034,0.480268575,0.125292497,0.003113802,0.088933191
122,C2_NaCRRI_CET_GWAS_2019_118_8_Root1_image3_1_2020-10-14-10-08-14,NA,1159825,NA,1169952.5,NA,0.991343666,NA,4229.874568,NA,1238,NA,1228,NA,8720,NA,76,NA,1277.812988,NA,1157.198242,NA,130.1974792,NA,0.424114763,NA,NA,NA
123,C2_NaCRRI_CET_GWAS_2019_118_8_Root2_image1_1_2020-10-14-10-08-28,17408,2720227,587888.5,2735259.5,0.029611057,0.994504178,5159.38883,6375.345904,1036,1718,927,2030,7075,14629,24,106,1106.953369,2030.371826,785.6838989,1705.741821,112.356102,175.5560303,0.704432032,0.542411377,0.639946593,0.216117442,0.545197365
124,C2_NaCRRI_CET_GWAS_2019_118_8_Root2_image2_1_2020-10-14-10-09-01,NA,2132343,NA,2152543.5,NA,0.990615521,NA,5724.326571,NA,1675,NA,1715,NA,11988,NA,81,NA,1688.594604,NA,1615.7229,NA,17.15114021,NA,0.290599559,NA,NA,NA
125,C2_NaCRRI_CET_GWAS_2019_118_8_Root2_image3_1_2020-10-14-10-09-19,NA,726172,NA,843157.5,NA,0.861253087,NA,5258.592385,NA,1032,NA,1121,NA,7979,NA,61,NA,1079.558716,NA,904.0948486,NA,158.4604187,NA,0.546487829,NA,NA,NA
126,C2_NaCRRI_CET_GWAS_2019_118_8_Root3_image1_1_2020-10-14-10-09-35,NA,1865543,NA,1883521,NA,0.99045511,NA,5381.827009,NA,1494,NA,1685,NA,12297,NA,85,NA,1726.641602,NA,1399.191162,NA,29.70214653,NA,0.58594042,NA,NA,NA
